endpoint,model,f1_k5,f1_k1,abs_drop_k5_to_k1,retention_pct
rec,rf,0.980615411790837,0.9829774722769982,-0.002362060486161166,100.24087531745472
rec,voting,0.9829774722769982,0.9829774722769982,0.0,100.0
rec,lgbm,0.9831258818974724,0.9829774722769982,0.00014840962047424355,99.98490431152237
rec,xgb,0.985370503990496,0.9830124103185158,0.0023580936719801437,99.76068964288758
rec,et,0.9810468695538468,0.9786840788561724,0.0023627906976744217,99.75915618600882
surv,et,0.77695096543039,0.7880140947636078,-0.011063129333217847,101.42391602886927
surv,lgbm,0.7845756447489014,0.7859124339355776,-0.001336789186676235,100.170383722159
surv,voting,0.7912216993845271,0.7851964429040414,0.006025256480485686,99.23848695186537
surv,xgb,0.7794376523616514,0.7700634745747592,0.009374177786892202,98.79731524920705
surv,rf,0.7879201087057387,0.7777294664335599,0.010190642272178807,98.70664015810965
