endpoint,model,subset_key,n_modalities,mean_weighted_f1,std_weighted_f1,mean_auc,std_auc,mean_acc,std_acc,mean_threshold,n_folds
rec,et,temporal,1,0.6737211689681042,0.030830831551468083,0.5443432016012661,0.04358871021593054,0.7089500860585198,0.03908950322257467,0.41,5
rec,et,spatial,1,0.6734197651129363,0.017688983168701367,0.515332499894712,0.042165067136177764,0.7230636833046471,0.034003008792896625,0.306,5
rec,et,semantic,1,0.6570303444052058,0.022481886741029168,0.503941488618908,0.05836828128845972,0.7256167527251864,0.03398630620925653,0.312,5
rec,lgbm,clinical+semantic+temporal+pathological+spatial,5,0.9831258818974724,0.018365537685560058,0.9952792130211485,0.006166473135946055,0.9832472748135398,0.018168620583772322,0.254,5
rec,lgbm,clinical+temporal+pathological+spatial,4,0.9830909438559547,0.018353683614381326,0.9952840895237209,0.00614851513867835,0.9832472748135398,0.018168620583772322,0.41400000000000003,5
rec,lgbm,clinical+semantic+pathological+spatial,4,0.9830124103185158,0.0185101223951854,0.9934432098026568,0.008935589085077616,0.9832472748135398,0.018168620583772322,0.25,5
rec,lgbm,clinical+semantic+temporal+pathological,4,0.9829774722769982,0.018498093081044435,0.9943624305375456,0.0074807179382496486,0.9832472748135398,0.018168620583772322,0.36,5
rec,lgbm,clinical+semantic+temporal+spatial,4,0.9829774722769982,0.018498093081044435,0.9928287704785401,0.01005761063102984,0.9832472748135398,0.018168620583772322,0.47000000000000003,5
rec,lgbm,semantic+temporal+pathological+spatial,4,0.7706439975756025,0.04697853958516101,0.6907369725342075,0.06721124029929569,0.7947504302925991,0.040699503476931215,0.196,5
rec,lgbm,clinical+pathological+spatial,3,0.9831258818974724,0.018365537685560058,0.99497199335909,0.006656568647953429,0.9832472748135398,0.018168620583772322,0.20800000000000002,5
rec,lgbm,clinical+semantic+temporal,3,0.9830909438559547,0.018353683614381326,0.990682776857892,0.014186958191242043,0.9832472748135398,0.018168620583772322,0.336,5
rec,lgbm,clinical+temporal+pathological,3,0.9830909438559547,0.018353683614381326,0.994062193140534,0.007620139633423121,0.9832472748135398,0.018168620583772322,0.414,5
rec,lgbm,clinical+temporal+spatial,3,0.9830909438559547,0.018353683614381326,0.991592577076448,0.013256430944174823,0.9832472748135398,0.018168620583772322,0.304,5
rec,lgbm,clinical+semantic+spatial,3,0.9829774722769982,0.018498093081044435,0.9929726273044246,0.010656312981680797,0.9832472748135398,0.018168620583772322,0.44400000000000006,5
rec,lgbm,clinical+semantic+pathological,3,0.980596020653539,0.022138576394538256,0.9940552108754874,0.007993817617829382,0.980837636259323,0.021816254400263028,0.32999999999999996,5
rec,lgbm,semantic+pathological+spatial,3,0.7783362840174228,0.03582709863175547,0.6905094393573656,0.059123493662496904,0.794750430292599,0.027115452590907984,0.148,5
rec,lgbm,temporal+pathological+spatial,3,0.7717917226183529,0.03448465803213491,0.6940810341732001,0.06271142306217845,0.7828456683878371,0.0405208063296519,0.2,5
rec,lgbm,semantic+temporal+pathological,3,0.7474818935132995,0.0504610573385245,0.6296100127897363,0.0736887444390427,0.7756454388984511,0.04077858338821989,0.392,5
rec,lgbm,semantic+temporal+spatial,3,0.6785086357347019,0.02050786288149601,0.5162094945505084,0.024878366362176756,0.7185025817555938,0.0342641599989607,0.186,5
rec,lgbm,clinical+pathological,2,0.9830909438559547,0.018353683614381326,0.993759849981048,0.007948369981092496,0.9832472748135398,0.018168620583772322,0.41999999999999993,5
rec,lgbm,clinical+temporal,2,0.9830909438559547,0.018353683614381326,0.9931356576517867,0.009677789215141565,0.9832472748135398,0.018168620583772322,0.27,5
rec,lgbm,clinical+semantic,2,0.9830124103185158,0.0185101223951854,0.9914340907428464,0.014200861908488887,0.9832472748135398,0.018168620583772322,0.26799999999999996,5
rec,lgbm,clinical+spatial,2,0.9829774722769982,0.018498093081044435,0.9926678458936523,0.011024003134975141,0.9832472748135398,0.018168620583772322,0.45999999999999996,5
rec,lgbm,pathological+spatial,2,0.7825520966925845,0.032082804856113145,0.6815546290200668,0.060120123568779736,0.7900458978772231,0.03585605274395694,0.128,5
rec,lgbm,semantic+pathological,2,0.7507395581944408,0.044909398372535714,0.6364157262774774,0.07210048594038318,0.7851979345955249,0.03859311247469514,0.49000000000000005,5
rec,lgbm,temporal+pathological,2,0.726027975560593,0.03679506723484445,0.6359685288256717,0.06282287832598646,0.7613023522662077,0.015242321974260514,0.628,5
rec,lgbm,temporal+spatial,2,0.6877054433029497,0.04199085185451456,0.5443823798662508,0.04819030932669703,0.7161503155479059,0.05062042879511522,0.15599999999999997,5
rec,lgbm,semantic+temporal,2,0.6779434210515509,0.021994629472323467,0.4913607215450533,0.06650250477204551,0.7136833046471601,0.045539853448691034,0.252,5
