endpoint,model,subset_key,n_modalities,mean_weighted_f1,std_weighted_f1,mean_auc,std_auc,mean_acc,std_acc,mean_threshold,n_folds
surv,et,clinical+semantic+pathological,3,0.7921425574407716,0.04613793967416875,0.8294578754578754,0.027292296609972993,0.7934426229508197,0.04578439358612768,0.584,5
surv,et,clinical+pathological,2,0.7999363121243768,0.032639661112357915,0.8314969474969475,0.03569243730232097,0.8032786885245902,0.030669322842409336,0.562,5
surv,et,clinical,1,0.7880140947636078,0.02046263806425079,0.8155873015873016,0.0356848480789728,0.7901639344262295,0.017958116639513633,0.542,5
surv,lgbm,clinical+semantic+temporal+pathological+spatial,5,0.7845756447489014,0.04873839687266516,0.82007326007326,0.048064442824574734,0.7868852459016393,0.05052798363089327,0.5740000000000001,5
surv,lgbm,clinical+temporal+pathological+spatial,4,0.8048446988340375,0.023903874913697637,0.8275164835164835,0.031591005907621754,0.8065573770491803,0.024315404875723513,0.58,5
surv,lgbm,clinical+pathological+spatial,3,0.802354830223474,0.04368443309726654,0.8187203907203907,0.03830799963885707,0.8065573770491803,0.04243337411654031,0.426,5
surv,lgbm,clinical+pathological,2,0.7851572555913335,0.031477431162291895,0.822957264957265,0.04631244948021674,0.7868852459016393,0.032786885245901676,0.5980000000000001,5
surv,lgbm,clinical,1,0.7859124339355776,0.055894516920400344,0.817909645909646,0.056575822102507355,0.7868852459016393,0.05678855106783205,0.63,5
surv,rf,clinical+semantic+temporal+pathological+spatial,5,0.7879201087057387,0.0350196540454408,0.829054945054945,0.030105387269302942,0.7901639344262296,0.03554013670275212,0.5800000000000001,5
surv,rf,clinical+temporal+pathological+spatial,4,0.7980514788615078,0.03991202928656726,0.8345494505494505,0.024180895115741077,0.8,0.04081934294422534,0.558,5
surv,rf,clinical+temporal+pathological,3,0.7911036924267238,0.03997675064177913,0.8292527472527473,0.02593130703738469,0.7934426229508197,0.04114721441970864,0.542,5
surv,rf,clinical+spatial,2,0.797399166218083,0.03552880831155698,0.8249328449328448,0.045512858592319426,0.8,0.0355401367027522,0.552,5
surv,rf,clinical,1,0.7777294664335599,0.02457211822134595,0.8098290598290598,0.03768040233568403,0.780327868852459,0.024861886701808323,0.514,5
surv,voting,clinical+semantic+temporal+pathological+spatial,5,0.7912216993845271,0.03846265975436464,0.8251159951159952,0.04115198907070245,0.7934426229508197,0.039480637963253434,0.5660000000000001,5
surv,voting,clinical+temporal+pathological+spatial,4,0.7981582359310638,0.03472366064266475,0.8317338217338218,0.03459572457354982,0.8,0.03738280082292261,0.5980000000000001,5
surv,voting,clinical+semantic+spatial,3,0.8020127045154851,0.059653148014635844,0.8276068376068375,0.051764519207621526,0.8032786885245902,0.06133864568481873,0.612,5
surv,voting,clinical+spatial,2,0.8005112297966275,0.05537095266640995,0.8236410256410256,0.05238182358227093,0.8032786885245902,0.055592868714141534,0.558,5
surv,voting,clinical,1,0.7851964429040414,0.04154620333144357,0.8143345543345543,0.04956651336099796,0.7868852459016393,0.041795241914694956,0.508,5
surv,xgb,clinical+semantic+temporal+pathological+spatial,5,0.7794376523616514,0.05838508963180583,0.8178656898656899,0.06209993928576931,0.7836065573770492,0.056074201234383836,0.5660000000000001,5
surv,xgb,clinical+semantic+temporal+pathological,4,0.7887335368594318,0.04559146329773865,0.8154432234432234,0.05583421800315647,0.7934426229508197,0.04274886823083704,0.46799999999999997,5
surv,xgb,clinical+pathological+spatial,3,0.7875876042507429,0.041993130724737496,0.8273284493284493,0.0445686205547896,0.7934426229508197,0.039480637963253434,0.488,5
surv,xgb,clinical+spatial,2,0.7975666566399132,0.03169268822315055,0.8139096459096459,0.051568364211643195,0.8,0.03153341649454322,0.5660000000000001,5
surv,xgb,clinical,1,0.7700634745747592,0.048559769815080485,0.8,0.060024670880533974,0.7737704918032786,0.05105708689310634,0.40800000000000003,5
