Model,F1,AUC,ACC,Thr
rf,0.7724533996084706,0.823578742937853,0.7737704918032787,0.5841414141414141
et,0.7536736459632773,0.8031426553672316,0.7540983606557377,0.594040404040404
mlp,0.7299962329961632,0.761431850282486,0.7344262295081967,0.29707070707070704
lgbm,0.7700509923867163,0.8289194915254238,0.780327868852459,0.29707070707070704
xgb,0.7533615480995786,0.811087570621469,0.7540983606557377,0.6831313131313131
svc,0.6741183609976239,0.7094367937853107,0.6721311475409836,0.594040404040404
tabnet,0.528973563727662,0.49602754237288127,0.5344262295081967,0.46535353535353535
voting,0.7903811273235596,0.7856859110169492,0.7901639344262295,0.01
meta,0.42621590368002177,0.15903072033898305,0.580327868852459,0.01
