Model,F1,AUC,ACC,Thr
rf,0.9784865155591284,0.9963530050033155,0.9785202863961814,0.5346464646464646
et,0.9807839468937319,0.996051600458135,0.9809069212410502,0.6138383838383838
mlp,0.9737057412389347,0.9693170173006208,0.9737470167064439,0.09909090909090908
lgbm,0.9784173492545926,0.9953885104587377,0.9785202863961814,0.6138383838383838
xgb,0.9807194983989865,0.9937307854602447,0.9809069212410502,0.7623232323232323
svc,0.9615678937874642,0.9719392368436917,0.9618138424821002,0.47525252525252526
tabnet,0.6688880907561381,0.5873168967388028,0.6825775656324582,0.6633333333333333
voting,0.9832672898793221,0.9763397432033275,0.9832935560859188,0.01
meta,0.6388421560572272,0.00602809090361083,0.747016706443914,0.9207070707070707
