endpoint,model,subset_key,subset_modalities,n_modalities,fold,threshold,weighted_f1,auc,acc,n_train,n_val
rec,voting,clinical+pathological+spatial,clinical+pathological+spatial,3,0,0.12,1.0,1.0,1.0,335,84
rec,xgb,clinical+pathological+spatial,clinical+pathological+spatial,3,0,0.05,1.0,1.0,1.0,335,84
rec,et,clinical+pathological+spatial,clinical+pathological+spatial,3,1,0.08,0.9536707056307911,0.9916855631141346,0.9523809523809524,335,84
rec,lgbm,clinical+pathological+spatial,clinical+pathological+spatial,3,1,0.01,0.9645581395348836,0.9894179894179894,0.9642857142857144,335,84
rec,rf,clinical+pathological+spatial,clinical+pathological+spatial,3,1,0.63,0.9633273703041146,0.9924414210128496,0.9642857142857144,335,84
rec,voting,clinical+pathological+spatial,clinical+pathological+spatial,3,1,0.55,0.9639907816401,0.9931972789115646,0.9642857142857144,335,84
rec,xgb,clinical+pathological+spatial,clinical+pathological+spatial,3,1,0.67,0.9757812499999998,0.9916855631141344,0.9761904761904762,335,84
rec,et,clinical+pathological+spatial,clinical+pathological+spatial,3,2,0.34,1.0,1.0,1.0,335,84
rec,lgbm,clinical+pathological+spatial,clinical+pathological+spatial,3,2,0.02,1.0,1.0,1.0,335,84
rec,rf,clinical+pathological+spatial,clinical+pathological+spatial,3,2,0.33,1.0,1.0,1.0,335,84
rec,voting,clinical+pathological+spatial,clinical+pathological+spatial,3,2,0.21,1.0,1.0,1.0,335,84
rec,xgb,clinical+pathological+spatial,clinical+pathological+spatial,3,2,0.22,1.0,1.0,1.0,335,84
rec,et,clinical+pathological+spatial,clinical+pathological+spatial,3,3,0.33,0.9761904761904762,0.995601173020528,0.9761904761904762,335,84
rec,lgbm,clinical+pathological+spatial,clinical+pathological+spatial,3,3,0.01,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,rf,clinical+pathological+spatial,clinical+pathological+spatial,3,3,0.63,0.9880044296788482,0.9978005865102638,0.988095238095238,335,84
rec,voting,clinical+pathological+spatial,clinical+pathological+spatial,3,3,0.75,0.9880044296788482,0.997800586510264,0.988095238095238,335,84
rec,xgb,clinical+pathological+spatial,clinical+pathological+spatial,3,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,et,clinical+pathological+spatial,clinical+pathological+spatial,3,4,0.52,0.9635592124595944,0.9900153609831028,0.963855421686747,336,83
rec,lgbm,clinical+pathological+spatial,clinical+pathological+spatial,3,4,0.99,0.9628921500660425,0.9861751152073732,0.963855421686747,336,83
rec,rf,clinical+pathological+spatial,clinical+pathological+spatial,3,4,0.5700000000000001,0.9635592124595944,0.9907834101382488,0.963855421686747,336,83
rec,voting,clinical+pathological+spatial,clinical+pathological+spatial,3,4,0.78,0.9628921500660425,0.988479262672811,0.963855421686747,336,83
rec,xgb,clinical+pathological+spatial,clinical+pathological+spatial,3,4,0.78,0.9628921500660425,0.9738863287250384,0.963855421686747,336,83
rec,et,clinical+semantic,clinical+semantic,2,0,0.22,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic,clinical+semantic,2,0,0.01,1.0,1.0,1.0,335,84
