endpoint,model,subset_key,subset_modalities,n_modalities,fold,threshold,weighted_f1,auc,acc,n_train,n_val
rec,rf,clinical+temporal+spatial,clinical+temporal+spatial,3,3,0.63,0.9880044296788482,0.997800586510264,0.988095238095238,335,84
rec,voting,clinical+temporal+spatial,clinical+temporal+spatial,3,3,0.65,0.9880044296788482,0.997067448680352,0.988095238095238,335,84
rec,xgb,clinical+temporal+spatial,clinical+temporal+spatial,3,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,et,clinical+temporal+spatial,clinical+temporal+spatial,3,4,0.47,0.9635592124595944,0.988479262672811,0.963855421686747,336,83
rec,lgbm,clinical+temporal+spatial,clinical+temporal+spatial,3,4,0.99,0.9628921500660425,0.9692780337941628,0.963855421686747,336,83
rec,rf,clinical+temporal+spatial,clinical+temporal+spatial,3,4,0.55,0.9635592124595944,0.989247311827957,0.963855421686747,336,83
rec,voting,clinical+temporal+spatial,clinical+temporal+spatial,3,4,0.81,0.9628921500660425,0.9869431643625192,0.963855421686747,336,83
rec,xgb,clinical+temporal+spatial,clinical+temporal+spatial,3,4,0.8200000000000001,0.9628921500660425,0.9746543778801844,0.963855421686747,336,83
rec,et,pathological,pathological,1,0,0.37,0.7378791004745204,0.6598639455782312,0.75,335,84
rec,lgbm,pathological,pathological,1,0,0.68,0.72301024428684,0.5865457294028723,0.7738095238095238,335,84
rec,rf,pathological,pathological,1,0,0.42,0.7410008779631256,0.6757369614512472,0.7619047619047619,335,84
rec,voting,pathological,pathological,1,0,0.5,0.7246376811594202,0.6349206349206349,0.7619047619047619,335,84
rec,xgb,pathological,pathological,1,0,0.61,0.7142857142857143,0.6137566137566137,0.7619047619047619,335,84
rec,et,pathological,pathological,1,1,0.3,0.7728813559322034,0.7505668934240363,0.7619047619047619,335,84
rec,lgbm,pathological,pathological,1,1,0.08,0.7350975909970108,0.6674225245653818,0.7261904761904762,335,84
rec,rf,pathological,pathological,1,1,0.36,0.7719416170539658,0.7445200302343159,0.7738095238095238,335,84
rec,voting,pathological,pathological,1,1,0.22,0.7451888809693514,0.7089947089947091,0.7380952380952381,335,84
rec,xgb,pathological,pathological,1,1,0.16,0.7086720867208671,0.6507936507936507,0.7023809523809523,335,84
rec,et,pathological,pathological,1,2,0.47,0.8347826086956522,0.7558578987150416,0.8571428571428571,335,84
rec,lgbm,pathological,pathological,1,2,0.66,0.7727272727272727,0.7422524565381707,0.7857142857142857,335,84
rec,rf,pathological,pathological,1,2,0.52,0.8239934071109017,0.7566137566137565,0.8452380952380952,335,84
rec,voting,pathological,pathological,1,2,0.61,0.7969154697433483,0.7392290249433107,0.8214285714285714,335,84
rec,xgb,pathological,pathological,1,2,0.33,0.7785907859078591,0.7490551776266062,0.7738095238095238,335,84
rec,et,pathological,pathological,1,3,0.4,0.727766106442577,0.6136363636363636,0.7619047619047619,335,84
rec,lgbm,pathological,pathological,1,3,0.8400000000000001,0.7367346938775512,0.5865102639296187,0.7857142857142857,335,84
rec,rf,pathological,pathological,1,3,0.5700000000000001,0.7367346938775512,0.6055718475073314,0.7857142857142857,335,84
rec,voting,pathological,pathological,1,3,0.54,0.7371141534080079,0.6158357771260997,0.7738095238095238,335,84
rec,xgb,pathological,pathological,1,3,0.5,0.7371141534080079,0.594574780058651,0.7738095238095238,335,84
rec,et,pathological,pathological,1,4,0.47,0.749337879094315,0.6474654377880185,0.7951807228915663,336,83
rec,lgbm,pathological,pathological,1,4,0.15,0.7189681804139635,0.5921658986175116,0.7349397590361446,336,83
rec,rf,pathological,pathological,1,4,0.49,0.7589906568130059,0.6251920122887864,0.7951807228915663,336,83
rec,voting,pathological,pathological,1,4,0.25,0.720620628856891,0.6006144393241166,0.7228915662650602,336,83
rec,xgb,pathological,pathological,1,4,0.81,0.6762163547808254,0.5453149001536097,0.7469879518072289,336,83
rec,et,pathological+spatial,pathological+spatial,2,0,0.33,0.7677400119260585,0.7059712773998488,0.7738095238095238,335,84
rec,lgbm,pathological+spatial,pathological+spatial,2,0,0.03,0.7683535281539559,0.7014361300075586,0.7619047619047619,335,84
rec,rf,pathological+spatial,pathological+spatial,2,0,0.38,0.7505050505050503,0.7029478458049887,0.7738095238095238,335,84
rec,voting,pathological+spatial,pathological+spatial,2,0,0.28,0.7530364372469636,0.708238851095994,0.7619047619047619,335,84
rec,xgb,pathological+spatial,pathological+spatial,2,0,0.41,0.7797101449275362,0.692365835222978,0.8095238095238095,335,84
rec,et,pathological+spatial,pathological+spatial,2,1,0.37,0.7827067669172934,0.7377173091458806,0.7976190476190477,335,84
rec,lgbm,pathological+spatial,pathological+spatial,2,1,0.24,0.7727272727272727,0.6825396825396824,0.7857142857142857,335,84
rec,rf,pathological+spatial,pathological+spatial,2,1,0.4,0.7928007023705005,0.7581254724111867,0.8095238095238095,335,84
rec,voting,pathological+spatial,pathological+spatial,2,1,0.26,0.7959477626272327,0.746787603930461,0.7976190476190477,335,84
rec,xgb,pathological+spatial,pathological+spatial,2,1,0.26,0.7827067669172934,0.6840513983371126,0.7976190476190477,335,84
rec,et,pathological+spatial,pathological+spatial,2,2,0.31,0.848509485094851,0.7853363567649282,0.8452380952380952,335,84
rec,lgbm,pathological+spatial,pathological+spatial,2,2,0.09,0.8271255060728745,0.762660619803477,0.8333333333333334,335,84
rec,rf,pathological+spatial,pathological+spatial,2,2,0.36,0.8271255060728745,0.7747543461829176,0.8333333333333334,335,84
rec,voting,pathological+spatial,pathological+spatial,2,2,0.25,0.8377346812461316,0.7709750566893424,0.8452380952380952,335,84
rec,xgb,pathological+spatial,pathological+spatial,2,2,0.31,0.8187006145741877,0.7392290249433107,0.8333333333333334,335,84
rec,et,pathological+spatial,pathological+spatial,2,3,0.37,0.7549894957983193,0.6356304985337243,0.7857142857142857,335,84
rec,lgbm,pathological+spatial,pathological+spatial,2,3,0.09,0.7438064144420972,0.5967741935483871,0.75,335,84
rec,rf,pathological+spatial,pathological+spatial,2,3,0.45,0.7275165089603194,0.6217008797653959,0.7738095238095238,335,84
rec,voting,pathological+spatial,pathological+spatial,2,3,0.43,0.7549894957983193,0.6290322580645161,0.7857142857142857,335,84
rec,xgb,pathological+spatial,pathological+spatial,2,3,0.33,0.7357749069777164,0.6143695014662757,0.7619047619047619,335,84
rec,et,pathological+spatial,pathological+spatial,2,4,0.44,0.749337879094315,0.6612903225806451,0.7951807228915663,336,83
rec,lgbm,pathological+spatial,pathological+spatial,2,4,0.19,0.8007477620667222,0.6643625192012289,0.8192771084337349,336,83
rec,rf,pathological+spatial,pathological+spatial,2,4,0.43,0.7589906568130059,0.6536098310291859,0.7951807228915663,336,83
rec,voting,pathological+spatial,pathological+spatial,2,4,0.34,0.7741807970089518,0.6589861751152073,0.7951807228915663,336,83
rec,xgb,pathological+spatial,pathological+spatial,2,4,0.37,0.7641904516461568,0.6129032258064516,0.7831325301204819,336,83
rec,et,semantic,semantic,1,0,0.28,0.6615257829055805,0.5755857898715041,0.7023809523809523,335,84
rec,lgbm,semantic,semantic,1,0,0.45,0.6699875466998754,0.4289493575207861,0.7619047619047619,335,84
rec,rf,semantic,semantic,1,0,0.3,0.696969696969697,0.6216931216931216,0.7142857142857143,335,84
rec,voting,semantic,semantic,1,0,0.28,0.6722643553629469,0.391912320483749,0.7380952380952381,335,84
rec,xgb,semantic,semantic,1,0,0.26,0.664696611505122,0.3669690098261526,0.7261904761904762,335,84
rec,et,semantic,semantic,1,1,0.29,0.6699463327370304,0.544973544973545,0.6785714285714286,335,84
rec,lgbm,semantic,semantic,1,1,0.29,0.6874999999999999,0.4648526077097505,0.7619047619047619,335,84
rec,rf,semantic,semantic,1,1,0.33,0.664696611505122,0.4799697656840513,0.7261904761904762,335,84
rec,voting,semantic,semantic,1,1,0.41,0.6699875466998754,0.5056689342403629,0.7619047619047619,335,84
rec,xgb,semantic,semantic,1,1,0.39,0.6874999999999999,0.4958427815570672,0.7619047619047619,335,84
rec,et,semantic,semantic,1,2,0.34,0.6428571428571429,0.4270597127739984,0.75,335,84
rec,lgbm,semantic,semantic,1,2,0.45,0.6699875466998754,0.4761904761904761,0.7619047619047619,335,84
rec,rf,semantic,semantic,1,2,0.36,0.6428571428571429,0.4497354497354497,0.75,335,84
rec,voting,semantic,semantic,1,2,0.32,0.6699875466998754,0.4452003023431594,0.7619047619047619,335,84
rec,xgb,semantic,semantic,1,2,0.28,0.6798601398601398,0.4845049130763416,0.75,335,84
rec,et,semantic,semantic,1,3,0.32,0.6268754076973255,0.4974340175953079,0.7380952380952381,335,84
rec,lgbm,semantic,semantic,1,3,0.52,0.6268754076973255,0.4666422287390029,0.7380952380952381,335,84
rec,rf,semantic,semantic,1,3,0.3,0.6613756613756614,0.5172287390029325,0.6666666666666666,335,84
rec,voting,semantic,semantic,1,3,0.23,0.6313281656793107,0.4637096774193548,0.6547619047619048,335,84
rec,xgb,semantic,semantic,1,3,0.61,0.6268754076973255,0.4270527859237537,0.7380952380952381,335,84
rec,et,semantic,semantic,1,4,0.33,0.6839470558289495,0.4746543778801844,0.7590361445783133,336,83
rec,lgbm,semantic,semantic,1,4,0.31,0.6762163547808254,0.5422427035330262,0.7469879518072289,336,83
rec,rf,semantic,semantic,1,4,0.39,0.6388034898213544,0.4516129032258065,0.7469879518072289,336,83
rec,voting,semantic,semantic,1,4,0.27,0.6986627830001324,0.4907834101382489,0.7590361445783133,336,83
rec,xgb,semantic,semantic,1,4,0.31,0.6839470558289495,0.5099846390168972,0.7590361445783133,336,83
rec,et,semantic+pathological,semantic+pathological,2,0,0.31,0.7677400119260585,0.6999244142101285,0.7738095238095238,335,84
rec,lgbm,semantic+pathological,semantic+pathological,2,0,0.33,0.697979797979798,0.5865457294028722,0.7261904761904762,335,84
rec,rf,semantic+pathological,semantic+pathological,2,0,0.36,0.7727272727272727,0.7180650037792895,0.7857142857142857,335,84
rec,voting,semantic+pathological,semantic+pathological,2,0,0.5800000000000001,0.7318526543878656,0.6689342403628118,0.7857142857142857,335,84
rec,xgb,semantic+pathological,semantic+pathological,2,0,0.52,0.7521739130434782,0.6447467876039304,0.7857142857142857,335,84
rec,et,semantic+pathological,semantic+pathological,2,1,0.31,0.7755348837209303,0.7528344671201814,0.7738095238095238,335,84
rec,lgbm,semantic+pathological,semantic+pathological,2,1,0.16,0.7767676767676768,0.6946334089191232,0.7976190476190477,335,84
rec,rf,semantic+pathological,semantic+pathological,2,1,0.33,0.78203125,0.7558578987150416,0.7857142857142857,335,84
rec,voting,semantic+pathological,semantic+pathological,2,1,0.22,0.7619047619047619,0.7414965986394557,0.7619047619047619,335,84
rec,xgb,semantic+pathological,semantic+pathological,2,1,0.37,0.7427595950082411,0.6530612244897959,0.7738095238095238,335,84
rec,et,semantic+pathological,semantic+pathological,2,2,0.37,0.8187006145741877,0.764172335600907,0.8333333333333334,335,84
rec,lgbm,semantic+pathological,semantic+pathological,2,2,0.36,0.8134191176470589,0.7286470143613001,0.8333333333333334,335,84
rec,rf,semantic+pathological,semantic+pathological,2,2,0.41,0.8134191176470589,0.7551020408163265,0.8333333333333334,335,84
rec,voting,semantic+pathological,semantic+pathological,2,2,0.33,0.8292929292929292,0.7566137566137566,0.8452380952380952,335,84
rec,xgb,semantic+pathological,semantic+pathological,2,2,0.34,0.8082706766917293,0.7241118669690098,0.8214285714285714,335,84
rec,et,semantic+pathological,semantic+pathological,2,3,0.41,0.746583850931677,0.6048387096774194,0.7857142857142857,335,84
rec,lgbm,semantic+pathological,semantic+pathological,2,3,0.85,0.7367346938775512,0.5601173020527859,0.7857142857142857,335,84
rec,rf,semantic+pathological,semantic+pathological,2,3,0.37,0.7357749069777164,0.624633431085044,0.7619047619047619,335,84
rec,voting,semantic+pathological,semantic+pathological,2,3,0.5800000000000001,0.7367346938775512,0.6092375366568915,0.7857142857142857,335,84
rec,xgb,semantic+pathological,semantic+pathological,2,3,0.6,0.7275165089603194,0.5894428152492669,0.7738095238095238,335,84
rec,et,semantic+pathological,semantic+pathological,2,4,0.35,0.7476138319511814,0.642089093701997,0.7710843373493976,336,83
rec,lgbm,semantic+pathological,semantic+pathological,2,4,0.75,0.7287965047001193,0.6121351766513057,0.7831325301204819,336,83
rec,rf,semantic+pathological,semantic+pathological,2,4,0.46,0.749337879094315,0.6136712749615976,0.7951807228915663,336,83
rec,voting,semantic+pathological,semantic+pathological,2,4,0.46,0.7287965047001193,0.5944700460829493,0.7831325301204819,336,83
rec,xgb,semantic+pathological,semantic+pathological,2,4,0.53,0.7070528924207469,0.543010752688172,0.7710843373493976,336,83
rec,et,semantic+pathological+spatial,semantic+pathological+spatial,3,0,0.3,0.7578125,0.7173091458805745,0.7619047619047619,335,84
rec,lgbm,semantic+pathological+spatial,semantic+pathological+spatial,3,0,0.05,0.7578125,0.6689342403628119,0.7619047619047619,335,84
rec,rf,semantic+pathological+spatial,semantic+pathological+spatial,3,0,0.32,0.78203125,0.7528344671201814,0.7857142857142857,335,84
rec,voting,semantic+pathological+spatial,semantic+pathological+spatial,3,0,0.24,0.7578125,0.7301587301587302,0.7619047619047619,335,84
rec,xgb,semantic+pathological+spatial,semantic+pathological+spatial,3,0,0.13,0.7785907859078591,0.7271352985638699,0.7738095238095238,335,84
rec,et,semantic+pathological+spatial,semantic+pathological+spatial,3,1,0.31,0.762842995667423,0.7339380196523053,0.7738095238095238,335,84
rec,lgbm,semantic+pathological+spatial,semantic+pathological+spatial,3,1,0.13,0.8127707860532288,0.7218442932728647,0.8214285714285714,335,84
rec,rf,semantic+pathological+spatial,semantic+pathological+spatial,3,1,0.34,0.7921884317233155,0.7180650037792895,0.7976190476190477,335,84
rec,voting,semantic+pathological+spatial,semantic+pathological+spatial,3,1,0.21,0.7991627906976744,0.7331821617535903,0.7976190476190477,335,84
rec,xgb,semantic+pathological+spatial,semantic+pathological+spatial,3,1,0.32,0.7767676767676768,0.708994708994709,0.7976190476190477,335,84
rec,et,semantic+pathological+spatial,semantic+pathological+spatial,3,2,0.31,0.8062500000000001,0.7573696145124716,0.8095238095238095,335,84
rec,lgbm,semantic+pathological+spatial,semantic+pathological+spatial,3,2,0.15,0.8082706766917293,0.763416477702192,0.8214285714285714,335,84
rec,rf,semantic+pathological+spatial,semantic+pathological+spatial,3,2,0.33,0.8304687500000001,0.7430083144368859,0.8333333333333334,335,84
rec,voting,semantic+pathological+spatial,semantic+pathological+spatial,3,2,0.2,0.8357771260997069,0.7467876039304611,0.8333333333333334,335,84
rec,xgb,semantic+pathological+spatial,semantic+pathological+spatial,3,2,0.2,0.8271255060728745,0.746031746031746,0.8333333333333334,335,84
rec,et,semantic+pathological+spatial,semantic+pathological+spatial,3,3,0.4,0.746583850931677,0.6041055718475073,0.7857142857142857,335,84
rec,lgbm,semantic+pathological+spatial,semantic+pathological+spatial,3,3,0.34,0.7275165089603194,0.6055718475073314,0.7738095238095238,335,84
rec,rf,semantic+pathological+spatial,semantic+pathological+spatial,3,3,0.37,0.745326278659612,0.62683284457478,0.7738095238095238,335,84
rec,voting,semantic+pathological+spatial,semantic+pathological+spatial,3,3,0.44,0.7367346938775512,0.6173020527859236,0.7857142857142857,335,84
rec,xgb,semantic+pathological+spatial,semantic+pathological+spatial,3,3,0.5700000000000001,0.7367346938775512,0.6268328445747801,0.7857142857142857,335,84
rec,et,semantic+pathological+spatial,semantic+pathological+spatial,3,4,0.4,0.7688143879867295,0.6290322580645161,0.8072289156626506,336,83
rec,lgbm,semantic+pathological+spatial,semantic+pathological+spatial,3,4,0.0699999999999999,0.7853109483818366,0.6927803379416283,0.7951807228915663,336,83
rec,rf,semantic+pathological+spatial,semantic+pathological+spatial,3,4,0.33,0.7549244597437368,0.6344086021505376,0.7590361445783133,336,83
rec,voting,semantic+pathological+spatial,semantic+pathological+spatial,3,4,0.42,0.749337879094315,0.6267281105990783,0.7951807228915663,336,83
rec,xgb,semantic+pathological+spatial,semantic+pathological+spatial,3,4,0.38,0.7303767308038123,0.6105990783410138,0.7590361445783133,336,83
rec,et,semantic+spatial,semantic+spatial,2,0,0.35,0.6428571428571429,0.5744520030234316,0.75,335,84
rec,lgbm,semantic+spatial,semantic+spatial,2,0,0.25,0.664696611505122,0.5306122448979591,0.7261904761904762,335,84
rec,rf,semantic+spatial,semantic+spatial,2,0,0.35,0.6699875466998754,0.6288737717309145,0.7619047619047619,335,84
rec,voting,semantic+spatial,semantic+spatial,2,0,0.19,0.6904761904761905,0.6016628873771731,0.6904761904761905,335,84
rec,xgb,semantic+spatial,semantic+spatial,2,0,0.21,0.7222222222222222,0.563114134542706,0.7380952380952381,335,84
rec,et,semantic+spatial,semantic+spatial,2,1,0.3,0.6495906722897545,0.5102040816326531,0.7023809523809523,335,84
rec,lgbm,semantic+spatial,semantic+spatial,2,1,0.15,0.7246376811594202,0.4905517762660619,0.7619047619047619,335,84
rec,rf,semantic+spatial,semantic+spatial,2,1,0.34,0.6699875466998754,0.5328798185941043,0.7619047619047619,335,84
rec,voting,semantic+spatial,semantic+spatial,2,1,0.32,0.6952023988005996,0.5306122448979591,0.7738095238095238,335,84
rec,xgb,semantic+spatial,semantic+spatial,2,1,0.38,0.7103496503496503,0.4845049130763417,0.7738095238095238,335,84
rec,et,semantic+spatial,semantic+spatial,2,2,0.31,0.664696611505122,0.5215419501133787,0.7261904761904762,335,84
rec,lgbm,semantic+spatial,semantic+spatial,2,2,0.86,0.6428571428571429,0.4361300075585789,0.75,335,84
rec,rf,semantic+spatial,semantic+spatial,2,2,0.34,0.6493706293706293,0.5049130763416478,0.7261904761904762,335,84
rec,voting,semantic+spatial,semantic+spatial,2,2,0.48,0.6428571428571429,0.5064247921390779,0.75,335,84
rec,xgb,semantic+spatial,semantic+spatial,2,2,0.19,0.6886037202731341,0.4958427815570672,0.7261904761904762,335,84
rec,et,semantic+spatial,semantic+spatial,2,3,0.34,0.6268754076973255,0.4662756598240469,0.7380952380952381,335,84
rec,lgbm,semantic+spatial,semantic+spatial,2,3,0.06,0.6731829573934837,0.4736070381231672,0.6904761904761905,335,84
rec,rf,semantic+spatial,semantic+spatial,2,3,0.34,0.6489795918367347,0.4728739002932551,0.7142857142857143,335,84
rec,voting,semantic+spatial,semantic+spatial,2,3,0.28,0.6640354950214105,0.4831378299120235,0.7380952380952381,335,84
rec,xgb,semantic+spatial,semantic+spatial,2,3,0.36,0.6716083916083917,0.469941348973607,0.75,335,84
rec,et,semantic+spatial,semantic+spatial,2,4,0.31,0.6821197834817532,0.5376344086021505,0.7349397590361446,336,83
rec,lgbm,semantic+spatial,semantic+spatial,2,4,0.4,0.6839470558289495,0.4615975422427035,0.7590361445783133,336,83
rec,rf,semantic+spatial,semantic+spatial,2,4,0.34,0.6685290613001457,0.5030721966205838,0.7349397590361446,336,83
rec,voting,semantic+spatial,semantic+spatial,2,4,0.19,0.6716954775624236,0.5276497695852536,0.6626506024096386,336,83
rec,xgb,semantic+spatial,semantic+spatial,2,4,0.61,0.6592914680918872,0.5506912442396312,0.7469879518072289,336,83
rec,et,semantic+temporal,semantic+temporal,2,0,0.35,0.72301024428684,0.581254724111867,0.7738095238095238,335,84
rec,lgbm,semantic+temporal,semantic+temporal,2,0,0.29,0.7142857142857143,0.4973544973544973,0.7619047619047619,335,84
rec,rf,semantic+temporal,semantic+temporal,2,0,0.31,0.7068014705882353,0.6621315192743764,0.7380952380952381,335,84
rec,voting,semantic+temporal,semantic+temporal,2,0,0.28,0.7246376811594202,0.5547996976568406,0.7619047619047619,335,84
rec,xgb,semantic+temporal,semantic+temporal,2,0,0.31,0.6695652173913044,0.4625850340136054,0.7142857142857143,335,84
rec,et,semantic+temporal,semantic+temporal,2,1,0.39,0.6571428571428571,0.5185185185185186,0.7142857142857143,335,84
rec,lgbm,semantic+temporal,semantic+temporal,2,1,0.41,0.6776234185065741,0.4799697656840513,0.7261904761904762,335,84
rec,rf,semantic+temporal,semantic+temporal,2,1,0.31,0.6525302922309336,0.5132275132275131,0.6428571428571429,335,84
rec,voting,semantic+temporal,semantic+temporal,2,1,0.28,0.654251012145749,0.5366591080876795,0.6666666666666666,335,84
rec,xgb,semantic+temporal,semantic+temporal,2,1,0.45,0.6722643553629469,0.5230536659108087,0.7380952380952381,335,84
rec,et,semantic+temporal,semantic+temporal,2,2,0.34,0.7427595950082411,0.5937263794406652,0.7738095238095238,335,84
rec,lgbm,semantic+temporal,semantic+temporal,2,2,0.11,0.6573953488372093,0.5774754346182918,0.6547619047619048,335,84
rec,rf,semantic+temporal,semantic+temporal,2,2,0.33,0.6971014492753623,0.5574452003023431,0.7380952380952381,335,84
rec,voting,semantic+temporal,semantic+temporal,2,2,0.22,0.6904761904761905,0.5789871504157218,0.6904761904761905,335,84
rec,xgb,semantic+temporal,semantic+temporal,2,2,0.26,0.6717171717171718,0.5593348450491308,0.6904761904761905,335,84
rec,et,semantic+temporal,semantic+temporal,2,3,0.39,0.6782312925170069,0.4120234604105571,0.7380952380952381,335,84
rec,lgbm,semantic+temporal,semantic+temporal,2,3,0.2,0.6641962688474317,0.5095307917888563,0.6785714285714286,335,84
rec,rf,semantic+temporal,semantic+temporal,2,3,0.37,0.6701515634782813,0.4802052785923754,0.7261904761904762,335,84
rec,voting,semantic+temporal,semantic+temporal,2,3,0.33,0.6741854636591478,0.4662756598240469,0.7023809523809523,335,84
rec,xgb,semantic+temporal,semantic+temporal,2,3,0.41,0.6654641654641654,0.4860703812316715,0.6904761904761905,335,84
rec,et,semantic+temporal,semantic+temporal,2,4,0.32,0.6764520769645747,0.4792626728110599,0.7108433734939759,336,83
rec,lgbm,semantic+temporal,semantic+temporal,2,4,0.25,0.6762163547808254,0.3924731182795699,0.7469879518072289,336,83
rec,rf,semantic+temporal,semantic+temporal,2,4,0.35,0.6685290613001457,0.4554531490015361,0.7349397590361446,336,83
rec,voting,semantic+temporal,semantic+temporal,2,4,0.27,0.6903585565282714,0.4308755760368664,0.7469879518072289,336,83
rec,xgb,semantic+temporal,semantic+temporal,2,4,0.37,0.6839470558289495,0.379416282642089,0.7590361445783133,336,83
rec,et,semantic+temporal+pathological,semantic+temporal+pathological,3,0,0.35,0.7767676767676768,0.7021919879062736,0.7976190476190477,335,84
rec,lgbm,semantic+temporal+pathological,semantic+temporal+pathological,3,0,0.4,0.7068014705882353,0.5585789871504158,0.7380952380952381,335,84
rec,rf,semantic+temporal+pathological,semantic+temporal+pathological,3,0,0.35,0.762842995667423,0.710506424792139,0.7738095238095238,335,84
rec,voting,semantic+temporal+pathological,semantic+temporal+pathological,3,0,0.46,0.7246376811594202,0.6636432350718064,0.7619047619047619,335,84
rec,xgb,semantic+temporal+pathological,semantic+temporal+pathological,3,0,0.48,0.7336889109402133,0.6167800453514739,0.7738095238095238,335,84
rec,et,semantic+temporal+pathological,semantic+temporal+pathological,3,1,0.33,0.7921884317233155,0.7210884353741497,0.7976190476190477,335,84
rec,lgbm,semantic+temporal+pathological,semantic+temporal+pathological,3,1,0.11,0.7827067669172934,0.6628873771730914,0.7976190476190477,335,84
rec,rf,semantic+temporal+pathological,semantic+temporal+pathological,3,1,0.36,0.7669007901668129,0.7157974300831443,0.7857142857142857,335,84
rec,voting,semantic+temporal+pathological,semantic+temporal+pathological,3,1,0.24,0.7719416170539658,0.7210884353741496,0.7738095238095238,335,84
rec,xgb,semantic+temporal+pathological,semantic+temporal+pathological,3,1,0.29,0.7315789473684211,0.674225245653817,0.75,335,84
rec,et,semantic+temporal+pathological,semantic+temporal+pathological,3,2,0.32,0.8095238095238095,0.7656840513983372,0.8095238095238095,335,84
rec,lgbm,semantic+temporal+pathological,semantic+temporal+pathological,3,2,0.23,0.8187006145741877,0.7271352985638699,0.8333333333333334,335,84
rec,rf,semantic+temporal+pathological,semantic+temporal+pathological,3,2,0.42,0.8239934071109017,0.7777777777777778,0.8452380952380952,335,84
rec,voting,semantic+temporal+pathological,semantic+temporal+pathological,3,2,0.24,0.8571428571428571,0.7739984882842025,0.8571428571428571,335,84
rec,xgb,semantic+temporal+pathological,semantic+temporal+pathological,3,2,0.22,0.8410852713178294,0.7596371882086168,0.8452380952380952,335,84
rec,et,semantic+temporal+pathological,semantic+temporal+pathological,3,3,0.42,0.7162370070171489,0.5095307917888563,0.7738095238095238,335,84
rec,lgbm,semantic+temporal+pathological,semantic+temporal+pathological,3,3,0.47,0.7093523976754881,0.5535190615835777,0.7380952380952381,335,84
rec,rf,semantic+temporal+pathological,semantic+temporal+pathological,3,3,0.46,0.7275165089603194,0.5975073313782991,0.7738095238095238,335,84
rec,voting,semantic+temporal+pathological,semantic+temporal+pathological,3,3,0.62,0.7367346938775512,0.5689149560117303,0.7857142857142857,335,84
rec,xgb,semantic+temporal+pathological,semantic+temporal+pathological,3,3,0.5800000000000001,0.746583850931677,0.5806451612903226,0.7857142857142857,335,84
rec,et,semantic+temporal+pathological,semantic+temporal+pathological,3,4,0.38,0.7476138319511814,0.6290322580645161,0.7710843373493976,336,83
rec,lgbm,semantic+temporal+pathological,semantic+temporal+pathological,3,4,0.75,0.7198482178112932,0.6459293394777266,0.7710843373493976,336,83
rec,rf,semantic+temporal+pathological,semantic+temporal+pathological,3,4,0.34,0.7304169057181106,0.6198156682027651,0.7349397590361446,336,83
rec,voting,semantic+temporal+pathological,semantic+temporal+pathological,3,4,0.45,0.7110179849834118,0.6036866359447004,0.7590361445783133,336,83
rec,xgb,semantic+temporal+pathological,semantic+temporal+pathological,3,4,0.59,0.7070528924207469,0.5721966205837173,0.7710843373493976,336,83
rec,et,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,0,0.34,0.7767676767676768,0.7482993197278911,0.7976190476190477,335,84
rec,lgbm,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,0,0.14,0.7505050505050503,0.6923658352229781,0.7738095238095238,335,84
rec,rf,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,0,0.32,0.7474747474747474,0.7339380196523053,0.7619047619047619,335,84
rec,voting,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,0,0.25,0.7677400119260585,0.7377173091458806,0.7738095238095238,335,84
rec,xgb,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,0,0.11,0.7915181753385603,0.744520030234316,0.7857142857142857,335,84
rec,et,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,1,0.34,0.7827067669172934,0.6984126984126985,0.7976190476190477,335,84
rec,lgbm,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,1,0.12,0.8271255060728745,0.7392290249433107,0.8333333333333334,335,84
rec,rf,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,1,0.32,0.78203125,0.7573696145124716,0.7857142857142857,335,84
rec,voting,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,1,0.21,0.7888563049853372,0.7505668934240363,0.7857142857142857,335,84
rec,xgb,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,1,0.38,0.7767676767676768,0.7014361300075587,0.7976190476190477,335,84
rec,et,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,2,0.3,0.8095238095238095,0.7664399092970521,0.8095238095238095,335,84
rec,lgbm,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,2,0.22,0.8072463768115942,0.7581254724111867,0.8333333333333334,335,84
rec,rf,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,2,0.29,0.8357771260997069,0.7520786092214664,0.8333333333333334,335,84
rec,voting,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,2,0.2,0.8252032520325203,0.7558578987150415,0.8214285714285714,335,84
rec,xgb,semantic+temporal+pathological+spatial,semantic+temporal+pathological+spatial,4,2,0.21,0.8271255060728745,0.7528344671201814,0.8333333333333334,335,84
